Entity	Entity GL	Conso GL	Account Name
CLIK	61110006	61110015	ค่านายหน้าอื่น
CLIK	61110008	61110019	ผลประโยชน์พนักงานหลังออกจากงาน-ขาย
CLIK	61110009	61110020	ค่าสวัสดิการพนักงาน-ขาย
CLIK	61110010	61110021	ค่าน้ำมันเชื้อเพลิง-ขาย
CLIK	61110015	61110026	เบี้ยเลี้ยง-ขาย
CLIK	61110033	61110033	ค่าใช้จ่ายในการเดินทาง-ขาย
CLIK	61110011	61110022	เงินเดือน/ค่าล่วงเวลา-ขาย
CLIK	61110012	61110023	เงินสมทบประกันสังคมนายจ้าง-ขาย
CLIK	61110053	61110053	ค่าแรงจูงใจพนักงาน-ขาย
CLIK	61110052	61110052	ผลประโยช์ของพนักงานอื่น-ขาย
HMW	    61110024	61110024	กองทุนสำรองเลี้ยงชีพ-ขาย
HMW	    61110010	61110010	ค่านายหน้าในการขาย
HMW	    61110019	61110019	ผลประโยชน์พนักงานหลังออกจากงาน-ขาย
HMW	    61110020	61110020	ค่าสวัสดิการพนักงาน-ขาย
HMW	    61110021	61110021	ค่าน้ำมันเชื้อเพลิง-ขาย
HMW	    61110026	61110026	เบี้ยเลี้ยง-ขาย
HMW	    61110033	61110033	ค่าใช้จ่ายในการเดินทาง-ขาย
HMW	    61110036	61110036	ค่านายหน้าในการขาย(ตัวแทนขาย)
HMW	    61110022	61110022	เงินเดือน/ค่าล่วงเวลา-ขาย
HMW	    61110023	61110023	เงินสมทบประกันสังคมนายจ้าง-ขาย
HMW	    61110040	61110040	เงินเดือน/ค่าล่วงเวลาขาย - ศุนย์บริการ
HMW	    61110041	61110041	เงินเดือน/ค่าล่วงเวลาขาย - ประกันภัย
HMW	    61110042	61110042	ค่านายหน้าในการขาย - ศูนย์บริการ
HMW	    61110043	61110043	ค่านายหน้าในการขาย - ประกันภัย
HMW	    61110044	61110044	เบี้ยเลี้ยงขาย - ศูนย์บริการ
HMW	    61110046	61110046	กองทุนสำรองเลี้ยงชีพขาย - ศูนย์บริการ
HMW	    61110047	61110047	กองทุนสำรองเลี้ยงชีพขาย - ประกันภัย
HMW	    61110048	61110048	เงินสมทบประกันสังคมนายจ้างขาย - ศูนย์บริการ
HMW	    61110049	61110049	เงินสมทบประกันสังคมนายจ้างขาย - ประกันภัย
HMW	    61110050	61110050	เบี้ยขยัน-ขาย
HMW	    61110052	61110052	ผลประโยช์ของพนักงานอื่น-ขาย
HMW	    61110053	61110053	ค่าแรงจูงใจพนักงาน-ขาย
HMW	    61110054	61110054	ค่าล่วงเวลา- ศูนย์บริการ
HMW	    61110056	61110056	เบี้ยขยัน - ศูนย์บริการ
HMW	    61110057	61110057	เบี้ยขยัน - ประกันภัย
HMW	    61110058	61110058	ผลประโยช์ของพนักงานอื่น-ศูนย์บริการ
